id,number,title,state,created_at,updated_at,closed_at,assignee,milestone,html_url,refatoracao,testes_regressao,prioridade,tempo_resolucao_dias
2427689850,40663,Build(deps-dev): Bump rtlcss from 4.1.1 to 4.2.0,closed,2024-07-24 14:04:25+00:00,2024-07-29 14:30:46+00:00,2024-07-29 14:30:36+00:00,,,https://github.com/twbs/bootstrap/pull/40663,False,False,média,5
2427688858,40662,Build(deps-dev): Bump bundlewatch from 0.3.3 to 0.4.0,closed,2024-07-24 14:04:06+00:00,2024-07-24 14:06:02+00:00,2024-07-24 14:06:00+00:00,,,https://github.com/twbs/bootstrap/pull/40662,False,False,média,0
2426529886,40660,Javascript Error in dropdown-menu,closed,2024-07-24 03:42:11+00:00,2024-07-24 23:14:57+00:00,2024-07-24 05:48:04+00:00,,,https://github.com/twbs/bootstrap/issues/40660,False,False,média,0
2424219359,40655,Update devDependencies,closed,2024-07-23 04:15:50+00:00,2024-07-23 04:55:02+00:00,2024-07-23 04:55:01+00:00,,,https://github.com/twbs/bootstrap/pull/40655,False,False,média,0
2424129490,40654,PTOSS 3,closed,2024-07-23 02:49:41+00:00,2024-07-23 03:42:36+00:00,2024-07-23 03:42:36+00:00,,,https://github.com/twbs/bootstrap/pull/40654,False,False,média,0
2422745642,40651,Sass 1.77.8 produces warning messages,closed,2024-07-22 12:24:23+00:00,2024-09-03 16:00:22+00:00,2024-07-22 13:00:23+00:00,,,https://github.com/twbs/bootstrap/issues/40651,False,False,média,0
2418682002,40647,How to introduce bootstrap's Accordion footer separately,closed,2024-07-19 11:36:13+00:00,2024-07-19 12:14:34+00:00,2024-07-19 12:14:34+00:00,,,https://github.com/twbs/bootstrap/issues/40647,False,False,média,0
2415547778,40644, CSP Compatibility with bootstrap.min.js,closed,2024-07-18 07:02:16+00:00,2024-07-18 07:12:17+00:00,2024-07-18 07:12:17+00:00,,,https://github.com/twbs/bootstrap/issues/40644,False,False,média,0
2413645161,40643,Fix: Preserve Up/Down Arrow Key Scrolling Functionality in Tabs Navigation,closed,2024-07-17 13:34:59+00:00,2024-07-26 12:43:28+00:00,2024-07-22 09:41:00+00:00,,,https://github.com/twbs/bootstrap/pull/40643,False,False,média,4
2409347806,40639,Further image compression improvements,closed,2024-07-15 18:21:12+00:00,2024-07-23 04:47:37+00:00,2024-07-23 04:47:36+00:00,,,https://github.com/twbs/bootstrap/pull/40639,False,False,média,7
2409314836,40638,Build(deps-dev): Bump @babel/core from 7.24.7 to 7.24.9,closed,2024-07-15 18:02:22+00:00,2024-07-15 18:08:49+00:00,2024-07-15 18:08:48+00:00,,,https://github.com/twbs/bootstrap/pull/40638,False,False,média,0
2409313996,40637,Build(deps-dev): Bump @babel/preset-env from 7.24.7 to 7.24.8,closed,2024-07-15 18:02:00+00:00,2024-07-15 18:03:43+00:00,2024-07-15 18:03:41+00:00,,,https://github.com/twbs/bootstrap/pull/40637,False,False,média,0
